Сазан,18.2,0,2.7,0,0,35,220,97,0,25,220
Сардина,19,0,10,0,0,90,220,73,0.4,40,280
Сельдь,17.7,0,19.5,0,0,60,280,246,2.7,30,280
Скумбрия,18,0,13.2,0,0,40,280,191,1.2,50,280
Судак,18.4,0,1.1,0,0,65,260,114,1.5,25,230
Хек,16.6,0,2.2,0,0,30,240,86,3.2,35,240
Щука,18.4,0,1.1,0,0,40,200,84,1.6,35,200
Кальмар,18,0,4.2,0,0,40,0,110,1.5,90,0
Краб,16,0,3.6,0,0,100,260,96,1,50,260
Креветка,18.9,0,2.2,0,0,135,220,95,1.4,60,220
Морская капуста,0,0.9,0,0.2,0,40,55,5,2,170,55
Икра Горбуши зернистая,31.2,0,11.7,0,0,75,426,230,0,141,426
Икра Осетровая зернистая,28.9,0,9.7,0,0,0,0,203,1.7,35,0
Икра Осетровая паюсная,36,0,10.2,0,0,50,594,236,0,37,594
Сайра,18.3,0,23.3,0,0,0,0,283,0,20,220
Горошек зеленый,0,3.1,0,0.2,6.5,20,62,40,10,38,122
сок Морковный,0,1.1,0,0.1,5.8,19,26,28,3,7,26
сок Томатный,0,1,0,0,3.5,7,32,19,10,12,32
Икра из баклажан,0,1.7,0,13.3,5.1,43,31,148,7,15,45
Икра из кабачков,0,2,0,9,8.5,41,37,122,7,20,32
Томат-пюре,0,3.6,0,0,11.8,20,70,65,26,0,70
Томатная паста,0,4.8,0,0,19,20,68,99,45,50,68
Компот из винограда,0,0.5,0,0,19.7,22,17,77,2,4,4
Компот из черешни,0,0.5,0,0,19.9,24,20,78,3,6,6
Компот из яблок,0,0.2,0,0,22.1,10,6,85,1.8,5,6
сок Абрикосовый,0,0.5,0,0,13.7,20,18,56,4,10,18
сок Апельсиновый,0,0.7,0,0,12.8,18,13,54,40,11,13
сок Айвовый,0,0.3,0,0,10.4,18,18,45,7.4,10,18
сок Виноградный,0,0.3,0,0,13.8,20,12,54,2,9,12
сок Вишневый,0,0.7,0,0,10.2,17,18,47,7.4,6,18
сок Гранатовый,0,0.3,0,0,14.5,12,8,64,4,5,8
сок Мандариновый,0,0.8,0,0,9,21,16,43,25,4,16
сок Персиковый,0,0.3,0,0,17,5,0,66,6,4,0
сок Черносмородиновый,0,0.5,0,0,7.9,40,20,40,85.5,35,20
сок Шиповниковый,0,0.1,0,0,17.6,15,35,70,400,5,35
сок Яблочный,0,0.5,0,0,9.1,7,7,38,2,4,7
Варенье из клубники,0,0.3,0,0,70.9,10,10,271,8.4,7,10
Варенье из малины,0,0.6,0,0,71.2,19,16,275,7.4,10,16
Варенье из персиков,0,0.5,0,0,64.3,9,15,248,2,7,15
Варенье из сливы,0,0.4,0,0,73.5,15,14,281,3,9,14
Варенье из яблок,0,0.4,0,0,66.2,11,7,254,1.4,5,7
Повидло яблочное,0,0.4,0,0,65.3,14,9,250,0.5,7,9
Пюре яблочное,0,0.6,0,0.1,19.2,12,17,78,1.6,7,17
Изюм,0,1.8,0,0,66,80,129,262,0,42,129
Груша сушеная ,0,2.3,0,0,49,107,92,201,8,66,92
Персики (курага),0,3,0,0,54.5,115,192,227,5,92,192
Слива (чернослив),0,2.3,0,0,58.4,80,83,242,3,102,83
Яблоки сухофрукт,0,2.2,0,0,48,111,77,199,2,60,77
